"","sp_name","sp_subtribe","sp_lat","sp_lon"
"405","Calamus_thysanolepis","Calaminae",24.442178,114.938686
"406","Calamus_thysanolepis","Calaminae",27.75,118.03
"407","Calamus_thysanolepis","Calaminae",22.391288,106.817838
"408","Calamus_thysanolepis","Calaminae",25.22845,113.217309
"409","Calamus_thysanolepis","Calaminae",25.22845,113.217309
"410","Calamus_thysanolepis","Calaminae",31.579934,120.299456
"411","Calamus_thysanolepis","Calaminae",23.490446,111.295924
"412","Calamus_thysanolepis","Calaminae",23.646234,114.117501
"413","Calamus_thysanolepis","Calaminae",24.742369,114.530132
"414","Calamus_thysanolepis","Calaminae",21.90164,110.80004
"415","Calamus_thysanolepis","Calaminae",11.318545,116.562386
"416","Calamus_thysanolepis","Calaminae",18.249731,109.507052
"417","Calamus_thysanolepis","Calaminae",24.33566,116.625881
"418","Calamus_thysanolepis","Calaminae",24.33566,116.625881
"419","Calamus_thysanolepis","Calaminae",23.376591,114.269636
"420","Calamus_thysanolepis","Calaminae",18.78333,109.7
"421","Calamus_thysanolepis","Calaminae",19.8075,105.77639
"422","Calamus_thysanolepis","Calaminae",19.8075,105.77639
"423","Calamus_thysanolepis","Calaminae",19.8075,105.77639
"424","Calamus_thysanolepis","Calaminae",19.8075,105.77639
"425","Calamus_ursinus","Calaminae",1.47,110.07
"426","Calamus_ursinus","Calaminae",4.333333,114.85
"427","Calamus_ursinus","Calaminae",4.333333,114.85
"428","Calamus_ursinus","Calaminae",4.333333,114.85
"429","Calamus_ursinus","Calaminae",1.6,110.2
"430","Calamus_ursinus","Calaminae",1.6,110.2
"431","Calamus_ursinus","Calaminae",3.75,115.45
"432","Calamus_ursinus","Calaminae",1.6,110.18
"433","Calamus_ursinus","Calaminae",1.1,110.93
"434","Calamus_ursinus","Calaminae",1.03,110.9
"435","Calamus_ursinus","Calaminae",1.1,110.933333
"436","Calamus_ursinus","Calaminae",1.6,110.18
"437","Calamus_ursinus","Calaminae",1.6,110.183333
"438","Calamus_ursinus","Calaminae",1.1,110.93
"439","Calamus_ursinus","Calaminae",1.6,110.18
"440","Calamus_ursinus","Calaminae",1.6,110.183333
"441","Calamus_ursinus","Calaminae",4.63,114.65
"442","Eleiodoxa_conferta","Salaccinea",6.1,101.95
"443","Eleiodoxa_conferta","Salaccinea",6.25,101.916
"444","Eleiodoxa_conferta","Salaccinea",6.266667,102.05
"445","Eleiodoxa_conferta","Salaccinea",6.266667,102.05
"446","Eleiodoxa_conferta","Salaccinea",6.266667,102.05
"447","Eleiodoxa_conferta","Salaccinea",-1.333333,104.333333
"448","Eleiodoxa_conferta","Salaccinea",-1.333333,104.333333
"449","Eleiodoxa_conferta","Salaccinea",3.916667,98.083333
"450","Eleiodoxa_conferta","Salaccinea",1.3667,103.8
"451","Eleiodoxa_conferta","Salaccinea",1.633333,110.466666
"452","Eleiodoxa_conferta","Salaccinea",1.633333,110.466666
"453","Eleiodoxa_conferta","Salaccinea",1.34039,103.70899
"454","Eleiodoxa_conferta","Salaccinea",1.34039,103.70899
"455","Eleiodoxa_conferta","Salaccinea",1.3667,103.8
"456","Eleiodoxa_conferta","Salaccinea",1.34039,103.70899
"457","Eleiodoxa_conferta","Salaccinea",1.3667,103.8
"458","Eleiodoxa_conferta","Salaccinea",-2.25,106
"459","Eleiodoxa_conferta","Salaccinea",1.6667,110.4167
"460","Eleiodoxa_conferta","Salaccinea",3.35019,101.229228
"461","Eremospatha_wendlandiana","Ancistrophyllinae",-0.67859,12.77871
"462","Eremospatha_wendlandiana","Ancistrophyllinae",-2.8983,13.5953
"463","Eremospatha_wendlandiana","Ancistrophyllinae",-2.898333,13.595277
"464","Eremospatha_wendlandiana","Ancistrophyllinae",-2.898333,13.595278
"465","Eremospatha_wendlandiana","Ancistrophyllinae",-2.033333,10.466667
"466","Eremospatha_wendlandiana","Ancistrophyllinae",-2.0325,10.4585
"467","Eremospatha_wendlandiana","Ancistrophyllinae",-2.032499,10.4585
"468","Eremospatha_wendlandiana","Ancistrophyllinae",-2.0325,10.4585
"469","Eremospatha_wendlandiana","Ancistrophyllinae",-2.88,10.5
"470","Eremospatha_wendlandiana","Ancistrophyllinae",-2.890167,10.500167
"471","Eremospatha_wendlandiana","Ancistrophyllinae",-2.890167,10.500167
"472","Eremospatha_wendlandiana","Ancistrophyllinae",-2.890167,10.500167
"473","Eremospatha_wendlandiana","Ancistrophyllinae",0.845,13.985
"474","Eremospatha_wendlandiana","Ancistrophyllinae",0.845,13.985
"475","Eremospatha_wendlandiana","Ancistrophyllinae",0.845,13.985
"476","Eremospatha_wendlandiana","Ancistrophyllinae",1.2435,14.1285
